,n_HeavyAtomCount,LogP,n_SMILES
772,H19,M300,10144
773,H19,M400,325
774,H19,M500,4
775,H19,P000,968347
776,H19,P010,1061743
777,H19,P020,1175040
778,H19,P030,1287064
779,H19,P040,1376618
780,H19,P050,1499671
781,H19,P060,1597921
782,H19,P070,1705857
783,H19,P080,1797588
784,H19,P090,1915707
785,H19,P100,1997200
786,H19,P110,2103959
787,H19,P120,2180264
788,H19,P130,2265815
789,H19,P140,2356767
790,H19,P150,2418220
791,H19,P160,2456598
792,H19,P170,2487653
793,H19,P180,2507432
794,H19,P190,2503718
795,H19,P200,2514120
796,H19,P210,2495980
797,H19,P220,2470286
798,H19,P230,2440112
799,H19,P240,2383495
800,H19,P250,2342549
801,H19,P260,2274599
802,H19,P270,2161471
803,H19,P280,2091649
804,H19,P290,1970737
805,H19,P300,1884722
806,H19,P310,1770937
807,H19,P320,1665677
808,H19,P330,1556184
809,H19,P340,1440085
810,H19,P350,1312917
811,H19,P360,1221333
812,H19,P370,1118284
813,H19,P380,1006370
814,H19,P390,888041
815,H19,P400,803938
816,H19,P410,693632
817,H19,P420,610374
818,H19,P430,536261
819,H19,P440,450113
820,H19,P450,386519
821,H19,P460,329128
822,H19,P470,273507
823,H19,P480,225611
824,H19,P490,182286
825,H19,P500,642234
826,H19,P600,34607
827,H19,P700,462
828,H19,P800,4
829,H20,M000,7856875
830,H20,M100,1803428
831,H20,M200,241277
832,H20,M300,17819
833,H20,M400,589
834,H20,M500,11
835,H20,P000,1406073
836,H20,P010,1556171
837,H20,P020,1669179
838,H20,P030,1846392
839,H20,P040,2012583
840,H20,P050,2192349
841,H20,P060,2366238
842,H20,P070,2561297
843,H20,P080,2710497
844,H20,P090,2873895
845,H20,P100,3054973
846,H20,P110,3168037
847,H20,P120,3284566
848,H20,P130,3441604
849,H20,P140,3533342
850,H20,P150,3661413
851,H20,P160,3743331
852,H20,P170,3856328
853,H20,P180,3909064
854,H20,P190,3929126
855,H20,P200,4126589
856,H20,P210,4124049
857,H20,P220,4101319
858,H20,P230,4036009
859,H20,P240,3972495
860,H20,P250,3846180
861,H20,P260,3761095
862,H20,P270,3624322
863,H20,P280,3495388
864,H20,P290,3369082
865,H20,P300,3213244
866,H20,P310,3034076
867,H20,P320,2875966
868,H20,P330,2685486
869,H20,P340,2517241
870,H20,P350,2343585
871,H20,P360,2158406
872,H20,P370,1993178
873,H20,P380,1821512
874,H20,P390,1642105
875,H20,P400,1494982
876,H20,P410,1282957
877,H20,P420,1142125
878,H20,P430,1012994
879,H20,P440,880752
880,H20,P450,753117
881,H20,P460,657688
882,H20,P470,557280
883,H20,P480,467942
884,H20,P490,387987
885,H20,P500,1443539
886,H20,P600,88360
887,H20,P700,1491
888,H20,P800,10
889,H20,P900,2
890,H21,M000,11871346
891,H21,M100,2811377
892,H21,M200,401798
893,H21,M300,33073
894,H21,M400,1207
895,H21,M500,12
896,H21,P000,2147758
897,H21,P010,2384409
898,H21,P020,2373445
899,H21,P030,2774418
900,H21,P040,3031963
901,H21,P050,3275533
902,H21,P060,3488944
903,H21,P070,3795932
904,H21,P080,4054751
905,H21,P090,4320878
906,H21,P100,4660598
907,H21,P110,4851637
908,H21,P120,5076938
909,H21,P130,5317569
910,H21,P140,5468980
911,H21,P150,5641912
912,H21,P160,5694225
